instagram,sse_idxmin,sse_min_facebook,sse_min,sse_idxmax,sse_max_facebook,sse_max,sse_mean,sse_std,ssmi_idxmin,ssmi_min_facebook,ssmi_min,ssmi_idxmax,ssmi_max_facebook,ssmi_max,ssmi_mean,ssmi_std
./instagram/instagram_images/071.jpg,144065, ./facebook_images/1152_346937065399354_1245652818861103.jpg,25.570728,143568, ./facebook_images/0601_219367258105115_1286875358020961.jpg,51757.159720,14785.634507,8165.157347,144065, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.006562,144065, ./facebook_images/1152_346937065399354_1245652818861103.jpg,0.912468,0.066782,0.069440
./instagram/instagram_images/072.jpg,146125, ./facebook_images/1168_346937065399354_1245902942169424.jpg,19.434873,147167, ./facebook_images/2281_114517875225866_1472655802745393.jpg,43271.952250,13983.332671,6140.333964,146125, ./facebook_images/1381_62317591679_10153841432376680.jpg,0.022385,146125, ./facebook_images/1168_346937065399354_1245902942169424.jpg,0.981862,0.081195,0.036709
./instagram/instagram_images/073.jpg,148183, ./facebook_images/1182_346937065399354_1246643122095406.jpg,19.474941,147856, ./facebook_images/0807_135665053303678_551844801685699.jpg,35747.137530,10380.169313,5012.166433,148183, ./facebook_images/0958_135665053303678_553592278177618.jpg,0.037574,148183, ./facebook_images/1182_346937065399354_1246643122095406.jpg,0.970252,0.180133,0.053216
./instagram/instagram_images/074.jpg,150212, ./facebook_images/1167_346937065399354_1245781955514856.jpg,22.488022,151232, ./facebook_images/2251_114517875225866_1470917416252565.jpg,40933.668110,14282.906460,5371.048063,150212, ./facebook_images/1631_62317591679_10153850716636680.jpg,0.031698,150212, ./facebook_images/1167_346937065399354_1245781955514856.jpg,0.971251,0.148435,0.052016
./instagram/instagram_images/075.jpg,152253, ./facebook_images/1164_346937065399354_1245894178836967.jpg,28.464787,151744, ./facebook_images/0601_219367258105115_1286875358020961.jpg,34534.076840,14242.314306,4070.333865,152253, ./facebook_images/1476_62317591679_10153844918141680.jpg,0.025653,152253, ./facebook_images/1164_346937065399354_1245894178836967.jpg,0.987344,0.115538,0.045586
./instagram/instagram_images/076.jpg,154288, ./facebook_images/1155_346937065399354_1245696502190068.jpg,10.186697,155320, ./facebook_images/2251_114517875225866_1470917416252565.jpg,33684.211050,12577.159217,4245.609382,154288, ./facebook_images/0834_135665053303678_552196998317146.jpg,0.067463,154288, ./facebook_images/1155_346937065399354_1245696502190068.jpg,0.988943,0.187916,0.049993
./instagram/instagram_images/077.jpg,157159, ./facebook_images/2005_389658314427637_1535469926513131.jpg,7502.341432,156032, ./facebook_images/0807_135665053303678_551844801685699.jpg,25943.717680,12236.383359,2990.706507,157283, ./facebook_images/1343_346937065399354_1253921808034204.jpg,0.003288,157283, ./facebook_images/2139_389658314427637_1541170652609725.jpg,0.257253,0.137294,0.043732
./instagram/instagram_images/078.jpg,158296, ./facebook_images/1060_440106476051475_1246879138707534.jpg,3876.535207,158626, ./facebook_images/1413_62317591679_10153842406986680.jpg,20054.032460,10853.858179,3142.242213,157894, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.013660,157894, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.542096,0.269815,0.092262
./instagram/instagram_images/079.jpg,161226, ./facebook_images/1981_389658314427637_1535207366539387.jpg,6100.644011,159920, ./facebook_images/0601_219367258105115_1286875358020961.jpg,48092.304770,14276.648339,7449.270133,160531, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.007497,160531, ./facebook_images/1271_346937065399354_1252671418159243.jpg,0.455816,0.075733,0.063254
./instagram/instagram_images/080.jpg,162856, ./facebook_images/1559_62317591679_10153847778051680.jpg,2567.096307,161964, ./facebook_images/0601_219367258105115_1286875358020961.jpg,40403.061910,9569.867064,6550.058799,162017, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.023265,162017, ./facebook_images/0654_219367258105115_1290309281010902.jpg,0.551915,0.288915,0.092311
./instagram/instagram_images/081.jpg,165099, ./facebook_images/1760_62317591679_10153861363381680.jpg,1763.699469,164008, ./facebook_images/0601_219367258105115_1286875358020961.jpg,31461.562780,7318.756689,4835.676600,164479, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.015887,164479, ./facebook_images/1120_440106476051475_1252400874822027.jpg,0.532143,0.305280,0.086655
./instagram/instagram_images/082.jpg,167127, ./facebook_images/1744_62317591679_10153860749246680.jpg,745.979260,167191, ./facebook_images/1808_62317591679_10153861784371680.jpg,46812.698070,23860.102649,8858.857065,167127, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.007332,167127, ./facebook_images/1744_62317591679_10153860749246680.jpg,0.793719,0.185069,0.083104
./instagram/instagram_images/083.jpg,168493, ./facebook_images/1035_440106476051475_1245655948829853.jpg,4214.869682,169628, ./facebook_images/2251_114517875225866_1470917416252565.jpg,28151.754380,9749.984274,3691.019668,169075, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.019876,169075, ./facebook_images/1648_62317591679_10153851558591680.jpg,0.410194,0.270634,0.066545
./instagram/instagram_images/084.jpg,169923, ./facebook_images/0376_219367258105115_1282313501810480.jpg,4750.136413,169697, ./facebook_images/0049_184096565021911_1036447253120167.jpg,23936.229400,12939.693209,3704.100310,170158, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.012723,170158, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.500993,0.273464,0.084209
./instagram/instagram_images/085.jpg,172450, ./facebook_images/0882_135665053303678_552582351611944.jpg,4367.725796,173714, ./facebook_images/2249_114517875225866_1470887229588917.jpg,22782.091370,9778.407104,3111.626496,172388, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.021067,172388, ./facebook_images/0815_135665053303678_551845471685632.jpg,0.544045,0.330516,0.092784
./instagram/instagram_images/086.jpg,173972, ./facebook_images/0326_146422995398181_1456275241079610.jpg,4618.506298,174228, ./facebook_images/0601_219367258105115_1286875358020961.jpg,30764.624600,10146.127047,4196.075231,174930, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.015195,174930, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.488410,0.270149,0.077044
./instagram/instagram_images/087.jpg,175934, ./facebook_images/0158_184096565021911_1041504402614452.jpg,5469.449429,176109, ./facebook_images/0436_219367258105115_1283530558355441.jpg,28355.003130,15527.092137,4310.142577,177772, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.008200,177772, ./facebook_images/2203_114517875225866_1464717233539250.jpg,0.511206,0.269650,0.092735
./instagram/instagram_images/088.jpg,179655, ./facebook_images/2017_389658314427637_1536072073119583.jpg,3537.481342,178316, ./facebook_images/0601_219367258105115_1286875358020961.jpg,31076.322090,8927.385318,4443.592013,179569, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.031537,179569, ./facebook_images/1925_389658314427637_1533602873366503.jpg,0.465101,0.291296,0.070833
./instagram/instagram_images/089.jpg,181538, ./facebook_images/1848_62317591679_10153862918406680.jpg,5640.459266,180360, ./facebook_images/0601_219367258105115_1286875358020961.jpg,31254.523990,11252.350008,4162.353720,181062, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.009746,181062, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.413371,0.218452,0.071250
./instagram/instagram_images/090.jpg,182149, ./facebook_images/0331_146422995398181_1456879957685805.jpg,4550.321962,183936, ./facebook_images/2251_114517875225866_1470917416252565.jpg,36898.612110,10857.590855,5357.417460,183010, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.029416,183010, ./facebook_images/1266_346937065399354_1252535468172838.jpg,0.455564,0.258987,0.074439
./instagram/instagram_images/091.jpg,184107, ./facebook_images/0155_184096565021911_1041496015948624.jpg,6476.106404,184285, ./facebook_images/0436_219367258105115_1283530558355441.jpg,30874.123920,17311.838674,4356.678664,185516, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.011469,185516, ./facebook_images/1737_62317591679_10153860538071680.jpg,0.513420,0.283671,0.090305
